mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.006972265243530273,0.0012494050731187817,0.002955770492553711,0.00044033330057891674,3,1,2,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.0,-0.6591444566421003,0.20503267678974213,-0.5172152705468691,-5.7210911712955435,-1.3384836443389543,2.2143718436081063,9
0.007089424133300781,0.003057050029242673,0.0032163143157958986,0.0005282033572385685,3,1,5,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.0,-0.6591444566421003,-0.32526446998310754,-0.5172152705468691,-5.7210911712955435,-1.444543073693524,2.149657682410779,13
0.004138278961181641,0.0007874105913568536,0.002527141571044922,0.001066221455042414,3,1,10,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}",-2.5853812689568925e+29,-1.4850779413705824,-0.32526446998310754,-0.5172152705468629,-5.721091171295573,-5.170762537913785e+28,1.034152507582757e+29,25
0.004267311096191407,0.0003800093173587935,0.002711200714111328,0.00011592014293456474,3,2,2,"{'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.0,-0.6591444566421003,0.20503267678974213,-0.5172152705468691,-5.7210911712955435,-1.3384836443389543,2.2143718436081063,9
0.004414272308349609,0.00042883250103698494,0.002700471878051758,0.00019852172351139886,3,2,5,"{'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.0,-0.6591444566421003,-0.32526446998310754,-0.5172152705468691,-5.7210911712955435,-1.444543073693524,2.149657682410779,13
0.004475450515747071,0.0006879381027051217,0.003160238265991211,0.0011267702608685293,3,2,10,"{'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10}",-2.5853812689568925e+29,-1.4850779413705824,-0.32526446998310754,-0.5172152705468629,-5.721091171295573,-5.170762537913785e+28,1.034152507582757e+29,25
0.004284715652465821,0.001014813513280032,0.0024974822998046877,0.0005863358542344782,3,4,2,"{'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2}",-2.5853812689568925e+29,-1.4850779413705824,-0.32526446998310754,-0.025217161771045493,-5.721091171295573,-5.170762537913785e+28,1.034152507582757e+29,25
0.003222036361694336,0.0003046455620104239,0.002412080764770508,0.00048104543976953203,3,4,5,"{'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5}",-2.5853812689568925e+29,-1.4850779413705824,-0.32526446998310754,-0.025217161771045493,-5.721091171295573,-5.170762537913785e+28,1.034152507582757e+29,25
0.003141975402832031,0.00044127079997316704,0.0026471614837646484,0.0008377942973365829,3,4,10,"{'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}",-2.5853812689568925e+29,-1.4850779413705824,-0.32526446998310754,-0.025217161771045493,-5.721091171295573,-5.170762537913785e+28,1.034152507582757e+29,25
0.0033920764923095702,0.00028861061294466314,0.0023435115814208984,0.000417777893025496,5,1,2,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.0,-0.25537925645540804,0.10315198529118141,-0.01811784056146415,-11.263209614836605,-2.286710945312459,4.489784922321616,23
0.0043212890625,0.0016742557116795793,0.0021766185760498046,0.00019418004651162714,5,1,5,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.0,-0.6591444566421003,-0.32526446998310754,-0.01811784056146415,-5.7210911712955435,-1.3447235876964432,2.201366539222483,11
0.0051097869873046875,0.0024983557934617454,0.002361774444580078,0.0006987970218980769,5,1,10,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",-2.5853812689568925e+29,-1.4850779413705824,-0.32526446998310754,-0.01811784056146415,-5.721091171295573,-5.170762537913785e+28,1.034152507582757e+29,25
0.0034849166870117186,0.0005063851312692614,0.002147006988525391,0.00031849714668280457,5,2,2,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.0,-0.6591444566421003,0.1307942237844062,-0.01811784056146415,-8.760041471021829,-1.8613019088881972,3.460289276742973,19
0.005520915985107422,0.0031720253447742736,0.002401399612426758,0.0004051647874116441,5,2,5,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.0,-0.6591444566421003,-0.32526446998310754,-0.01811784056146415,-5.7210911712955435,-1.3447235876964432,2.201366539222483,11
0.003257560729980469,0.0003428422161003378,0.004572343826293945,0.002156943922100332,5,2,10,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",-2.5853812689568925e+29,-1.4850779413705824,-0.32526446998310754,-0.01811784056146415,-5.721091171295573,-5.170762537913785e+28,1.034152507582757e+29,25
0.003119945526123047,0.0003522685941330339,0.002471780776977539,0.0005639627193629209,5,4,2,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}",-2.5853812689568925e+29,-1.4850779413705824,-0.32526446998310754,-0.004933387059848249,-5.721091171295573,-5.170762537913785e+28,1.034152507582757e+29,25
0.0036474227905273437,0.0010111033094091942,0.0020417690277099608,0.00029573974893633086,5,4,5,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5}",-2.5853812689568925e+29,-1.4850779413705824,-0.32526446998310754,-0.004933387059848249,-5.721091171295573,-5.170762537913785e+28,1.034152507582757e+29,25
