mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.06227712631225586,0.0033940674222445347,0.008612918853759765,0.000559345462223999,5,1,2,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",-35.0,-0.04504085751199671,-1.7044844206147078,0.12385533219814804,-8.275295729576817,-8.980193135101075,13.36550643751031,1
0.12678065299987792,0.00615759092688313,0.014107751846313476,0.002120660037062621,5,1,2,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-35.0,-0.1652782110073654,-1.8376322570766654,0.2027669501928746,-8.19027610296103,-8.998083924170437,13.34689757768475,2
0.2541555404663086,0.0072872071598603936,0.021901273727416994,0.0018032241868019677,5,1,2,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-624.0,-0.11724279458922027,-1.9307853312492544,0.19655851565315807,-8.11200047341534,-126.79269401672013,248.62165979041768,9
0.06788868904113769,0.004329532425372003,0.008799171447753907,0.0016929147727213426,5,1,5,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",-1.3979547201085908e+29,-0.6581021348109057,-3.00830167783458,0.06127243874370292,-5.206981828795433,-2.7959094402171817e+28,5.591818880434364e+28,37
0.1278082847595215,0.0021022759803787476,0.013104057312011719,0.00176018084238725,5,1,5,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-1.3497235503502207e+29,-0.758348470948137,-3.120171109438296,0.12392560525839491,-5.11226292388602,-2.6994471007004413e+28,5.3988942014008825e+28,33
0.28245010375976565,0.04660455383753895,0.027734899520874025,0.0028340197573501797,5,1,5,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-1.2593476064049419e+29,-0.6662782428184464,-3.191321533661304,0.12846122635788693,-5.049281417491698,-2.5186952128098837e+28,5.037390425619768e+28,25
0.0600184440612793,0.005327151518597595,0.006507444381713867,0.0006201877677612991,5,1,10,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",-4.834369310714241e+30,-0.6272524711081406,-3.167448617461562,-0.2955188402435427,-1.0354363554571795,-9.668738621428483e+29,1.9337477242856966e+30,73
0.13783979415893555,0.018688669925689856,0.014976835250854493,0.005844075157899687,5,1,10,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-5.131013175348263e+30,-0.7833901593128516,-3.3080537784929174,-0.21644835757429126,-1.544251225590358,-1.0262026350696526e+30,2.0524052701393052e+30,97
0.2539849758148193,0.00944370703187622,0.025998926162719725,0.002068917515180129,5,1,10,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-4.904998564998809e+30,-0.7645033384374089,-3.3166598783972594,-0.22361959739331705,-1.4918836564987843,-9.809997129997617e+29,1.9619994259995237e+30,85
0.07712411880493164,0.006840222638919323,0.009480476379394531,0.0028871163850441345,5,2,2,50,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",-1.8125402682507137e+28,-0.3436459227973845,-3.007002111506212,-0.030459013919658773,-5.741943763725271,-3.6250805365014275e+27,7.250161073002855e+27,17
0.21284408569335939,0.030141388204801285,0.019188308715820314,0.01106647200494151,5,2,2,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-2.774864899502993e+28,-0.46530980235432384,-3.1740771807242147,0.004579825708618035,-5.645459639061207,-5.549729799005986e+27,1.1099459598011974e+28,21
0.3700674057006836,0.12504316836606985,0.03633890151977539,0.00776401279893667,5,2,2,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-1.7826205644867816e+28,-0.4271717701630686,-3.294217640802498,0.008362950413714265,-5.599585700271825,-3.5652411289735634e+27,7.130482257947128e+27,13
0.11106867790222168,0.03690968403371331,0.009049606323242188,0.0028878481642486704,5,2,5,50,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",-1.3979547201085908e+29,-0.635656876752877,-3.2477707696544487,-0.05472143381386618,-4.816445522235146,-2.7959094402171817e+28,5.591818880434364e+28,37
0.14046030044555663,0.015557203018572453,0.013564443588256836,0.0005884878905764097,5,2,5,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-1.4413072878251469e+29,-0.7454301657935254,-3.3879317055717024,-0.0037701493008490683,-4.825819362522956,-2.8826145756502938e+28,5.765229151300586e+28,45
0.3328871726989746,0.10444013055962705,0.035613727569580075,0.006402826981258343,5,2,5,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-1.308588941660903e+29,-0.6587041966275893,-3.50379129698286,-0.00451969644159167,-4.895730086470547,-2.617177883321806e+28,5.234355766643612e+28,29
