model,best_score,hyperparameters
DecisionTree,-1.2971266612757477,"{'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 5}"
RandomForest,-8.980193135101075,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
Ridge,-6.788331454177562e+29,{'alpha': 10.0}
Lasso,-1.84542759180668e+30,{'alpha': 1.0}
