model,MAE,RMSE,R2
LinearRegression,226.24456037782127,247.844510885289,-2042.1272998226927
DecisionTree,18.75686028107143,19.695048066387695,-11.901817880840836
RandomForest,17.411878346285572,18.3206527377413,-10.163971081334859
Ridge,17.660676314340716,18.75257296523113,-10.696570558138992
Lasso,4.075482229865394,4.600275171486601,0.2961105794837753
