Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Tunisia,TUN,2021,Arable land (% of land area),AG.LND.ARBL.ZS,18.2241246138002
Tunisia,TUN,2020,Arable land (% of land area),AG.LND.ARBL.ZS,18.2241246138002
Tunisia,TUN,2019,Arable land (% of land area),AG.LND.ARBL.ZS,16.5396498455201
Tunisia,TUN,2018,Arable land (% of land area),AG.LND.ARBL.ZS,16.5396498455201
Tunisia,TUN,2017,Arable land (% of land area),AG.LND.ARBL.ZS,16.7797373841401
Tunisia,TUN,2016,Arable land (% of land area),AG.LND.ARBL.ZS,16.5010298661174
Tunisia,TUN,2015,Arable land (% of land area),AG.LND.ARBL.ZS,16.5422245108136
Tunisia,TUN,2014,Arable land (% of land area),AG.LND.ARBL.ZS,16.6580844490216
Tunisia,TUN,2013,Arable land (% of land area),AG.LND.ARBL.ZS,18.3638002059732
Tunisia,TUN,2012,Arable land (% of land area),AG.LND.ARBL.ZS,18.3316168898043
Tunisia,TUN,2011,Arable land (% of land area),AG.LND.ARBL.ZS,18.2736869207003
Tunisia,TUN,2010,Arable land (% of land area),AG.LND.ARBL.ZS,18.1707003089598
Tunisia,TUN,2009,Arable land (% of land area),AG.LND.ARBL.ZS,17.4240473738414
Tunisia,TUN,2008,Arable land (% of land area),AG.LND.ARBL.ZS,18.2479402677652
Tunisia,TUN,2007,Arable land (% of land area),AG.LND.ARBL.ZS,17.5914006179197
Tunisia,TUN,2006,Arable land (% of land area),AG.LND.ARBL.ZS,17.7845005149331
Tunisia,TUN,2005,Arable land (% of land area),AG.LND.ARBL.ZS,17.5720906282183
Tunisia,TUN,2004,Arable land (% of land area),AG.LND.ARBL.ZS,17.9647270854789
Tunisia,TUN,2003,Arable land (% of land area),AG.LND.ARBL.ZS,17.9582904222451
Tunisia,TUN,2002,Arable land (% of land area),AG.LND.ARBL.ZS,17.8359938208033
Tunisia,TUN,2001,Arable land (% of land area),AG.LND.ARBL.ZS,17.8553038105046
Tunisia,TUN,2000,Arable land (% of land area),AG.LND.ARBL.ZS,18.4346035015448
Tunisia,TUN,1999,Arable land (% of land area),AG.LND.ARBL.ZS,18.7242533470649
Tunisia,TUN,1998,Arable land (% of land area),AG.LND.ARBL.ZS,18.5311534500515
Tunisia,TUN,1997,Arable land (% of land area),AG.LND.ARBL.ZS,18.312306900103
Tunisia,TUN,1996,Arable land (% of land area),AG.LND.ARBL.ZS,18.312306900103
Tunisia,TUN,1995,Arable land (% of land area),AG.LND.ARBL.ZS,18.2929969104016
Tunisia,TUN,1994,Arable land (% of land area),AG.LND.ARBL.ZS,18.2157569515963
Tunisia,TUN,1993,Arable land (% of land area),AG.LND.ARBL.ZS,19.2263130792997
Tunisia,TUN,1992,Arable land (% of land area),AG.LND.ARBL.ZS,18.7178166838311
Tunisia,TUN,1991,Arable land (% of land area),AG.LND.ARBL.ZS,18.7178166838311
Tunisia,TUN,1990,Arable land (% of land area),AG.LND.ARBL.ZS,18.7242533470649
Tunisia,TUN,1989,Arable land (% of land area),AG.LND.ARBL.ZS,18.7306900102987
Tunisia,TUN,1988,Arable land (% of land area),AG.LND.ARBL.ZS,18.8980432543769
Tunisia,TUN,1987,Arable land (% of land area),AG.LND.ARBL.ZS,19.1812564366632
Tunisia,TUN,1986,Arable land (% of land area),AG.LND.ARBL.ZS,19.5030895983522
Tunisia,TUN,1985,Arable land (% of land area),AG.LND.ARBL.ZS,19.7605561277034
Tunisia,TUN,1984,Arable land (% of land area),AG.LND.ARBL.ZS,20.0823892893924
Tunisia,TUN,1983,Arable land (% of land area),AG.LND.ARBL.ZS,20.211122554068
Tunisia,TUN,1982,Arable land (% of land area),AG.LND.ARBL.ZS,20.3398558187436
Tunisia,TUN,1981,Arable land (% of land area),AG.LND.ARBL.ZS,20.4042224510814
Tunisia,TUN,1980,Arable land (% of land area),AG.LND.ARBL.ZS,20.5393923789907
Tunisia,TUN,1979,Arable land (% of land area),AG.LND.ARBL.ZS,21.9232749742533
Tunisia,TUN,1978,Arable land (% of land area),AG.LND.ARBL.ZS,21.9683316168898
Tunisia,TUN,1977,Arable land (% of land area),AG.LND.ARBL.ZS,22.7021112255407
Tunisia,TUN,1976,Arable land (% of land area),AG.LND.ARBL.ZS,22.399588053553
Tunisia,TUN,1975,Arable land (% of land area),AG.LND.ARBL.ZS,21.9490216271885
Tunisia,TUN,1974,Arable land (% of land area),AG.LND.ARBL.ZS,21.4984552008239
Tunisia,TUN,1973,Arable land (% of land area),AG.LND.ARBL.ZS,21.1766220391349
Tunisia,TUN,1972,Arable land (% of land area),AG.LND.ARBL.ZS,20.7904222451081
Tunisia,TUN,1971,Arable land (% of land area),AG.LND.ARBL.ZS,20.5973223480947
Tunisia,TUN,1970,Arable land (% of land area),AG.LND.ARBL.ZS,20.5522657054583
