mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.15541477203369142,0.0594642404158774,0.018042755126953126,0.0034657948953599037,5,1,2,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",-24.0,-24.0,-1.1158541496482843e+27,0.6770713014753853,-12.070943122724827,-2.2317082992965686e+26,4.463416598593137e+26,13
0.4203838348388672,0.12025733309126553,0.03777151107788086,0.012217278250871228,5,1,2,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-80.0,-80.0,-9.832117444998687e+26,0.7858149482081833,-10.754985605823103,-1.9664234889997374e+26,3.932846977999475e+26,1
0.6195347309112549,0.21156139763197676,0.05349373817443848,0.011268994700129152,5,1,2,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-99.0,-99.0,-1.2154732589007898e+27,0.7455959061712292,-10.093652907258548,-2.4309465178015795e+26,4.861893035603159e+26,22
0.16454038619995118,0.05986484376821186,0.016910505294799805,0.0016228278552517148,5,1,5,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",-24.0,-24.0,-1.5604410898054806e+27,0.5968617877122966,-21.95282602620807,-3.120882179610961e+26,6.241764359221923e+26,57
0.30292983055114747,0.10178182584313979,0.03160219192504883,0.011553291591169818,5,1,5,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-80.0,-80.0,-1.360659330371169e+27,0.7411179228917115,-19.631311593178097,-2.7213186607423377e+26,5.442637321484676e+26,37
0.7731978893280029,0.23851472612884272,0.06514978408813477,0.014465569382165885,5,1,5,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-99.0,-99.0,-1.744549196749829e+27,0.7006366618682143,-20.238190544296383,-3.489098393499658e+26,6.978196786999314e+26,61
0.12636322975158693,0.0044706105559703686,0.01570587158203125,0.001084460375761838,5,1,10,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",-3.7470186056187245e+22,-24.0,-1.9057479740117723e+27,0.4254652401236134,-25.967449045091097,-3.811570888395657e+26,7.622954427242402e+26,69
0.24768471717834473,0.007834551500386087,0.02778968811035156,0.0023403988505522793,5,1,10,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-1.5526045370378358e+23,-1.3812351748961536e+22,-1.475517668260585e+27,0.6350848222724552,-25.728442172354878,-2.9513734821320757e+26,5.9019016292956326e+26,45
0.6993664741516114,0.22974186772020225,0.05796046257019043,0.01596894551731932,5,1,10,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-6.18682309415134e+22,-4.842453652390224e+21,-1.7850187650648663e+27,0.5918504098363297,-26.881943922153688,-3.57017095149892e+26,7.140008353410369e+26,65
0.13485345840454102,0.007338588263196255,0.015595197677612305,0.0009388757392298675,5,2,2,50,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",-24.0,-24.0,-1.0648544227328656e+27,0.6198709841140821,-18.382479291469956,-2.1297088454657312e+26,4.2594176909314624e+26,2
0.2533374309539795,0.009344644829494542,0.02710127830505371,0.0017917380423548511,5,2,2,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-80.0,-80.0,-1.2215465302851232e+27,0.7582275936015619,-16.992240659955016,-2.4430930605702465e+26,4.8861861211404924e+26,23
