mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0023529529571533203,0.0006557532837730718,0.0013297080993652343,0.0006061359833633244,0.0001,{'alpha': 0.0001},-3.003608732621403e+24,-4.854049595766196e+23,-6.170711539461856e+22,0.9999909476932575,0.7520680485807002,-7.101441615185282e+23,1.1609967709565077e+24,1
0.023709917068481447,0.003060016828155364,0.002348184585571289,0.0003033266446487712,0.001,{'alpha': 0.001},-8.014512167413233e+25,-1.2422191376152996e+25,-2.1936829404718942e+24,0.99971940786481,0.7545004845802334,-1.8952199198151446e+25,3.0940052809775564e+25,2
0.01793990135192871,0.0010000366916282266,0.0019361019134521485,0.00024496251210874543,0.01,{'alpha': 0.01},-4.4676669004191445e+26,-1.023386637381938e+25,-5.836844082730468e+24,0.9997739348148733,0.7720348584122482,-9.256748009969286e+25,1.7714151644421257e+26,3
0.007814693450927734,0.004916906624791086,0.001719522476196289,0.000223038989162832,0.1,{'alpha': 0.1},-1.603475002951034e+28,-1.7377751438061126e+25,-2.9427471590919986e+26,0.9915783956084745,0.8702060479035395,-3.26928049937152e+27,6.383715739061316e+27,4
0.0030788421630859376,9.522947824020158e-05,0.0018567562103271485,0.00013580883140447268,1.0,{'alpha': 1.0},-1.1237382026561267e+29,-1.410414665328346e+27,-1.3164574398940929e+28,0.7405560063855515,-6.614007497139486,-2.538976186597639e+28,4.3772070391213385e+28,5
