mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.010022401809692383,0.0005196117945601879,0.006128978729248047,0.0010329648353375846,3,1,2,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",-3.0,-3.0,-8.460065445061682e+26,-1.1679894440759622,-36.55793700991198,-1.6920130890123364e+26,3.384026178024673e+26,37
0.011797904968261719,0.003756027992250432,0.004973745346069336,0.0002788902936671218,3,1,5,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5}",-3.0,-3.0,-8.460065445061682e+26,-1.1679894440759622,-8.585797527628662,-1.6920130890123364e+26,3.384026178024673e+26,37
0.008811330795288086,0.0023219314762218013,0.005212736129760742,0.00021522658803018734,3,1,10,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}",-3.0,-3.0,-8.460065445061682e+26,-1.190940294819066,-28.87049134741132,-1.6920130890123364e+26,3.384026178024673e+26,37
0.006449556350708008,0.00032481545914814827,0.004350519180297852,0.00030195008886013057,3,2,2,"{'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2}",-3.0,-3.0,-4.230032722530841e+26,-1.167989444075928,-8.585797527628662,-8.460065445061682e+25,1.6920130890123364e+26,24
0.0064639091491699215,0.00011916518349102439,0.004652976989746094,0.0003908143792843336,3,2,5,"{'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5}",-3.0,-3.0,-4.230032722530841e+26,-1.167989444075928,-8.585797527628662,-8.460065445061682e+25,1.6920130890123364e+26,24
0.006373548507690429,0.00038346657846933884,0.00467534065246582,0.0005654949231115281,3,2,10,"{'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10}",-3.0,-3.0,-4.230032722530841e+26,-1.1909402948190322,-28.87049134741132,-8.460065445061682e+25,1.6920130890123364e+26,24
0.006263113021850586,0.0004351628707091099,0.004313755035400391,0.0003562559643881922,3,4,2,"{'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2}",-3.0,-3.0,-1.0575081806327103e+26,-1.1909402948190322,-28.87049134741132,-2.1150163612654204e+25,4.230032722530841e+25,1
0.006920671463012696,0.0010603137614239807,0.004616880416870117,0.0008529988719408911,3,4,5,"{'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5}",-3.0,-3.0,-1.0575081806327103e+26,-1.1909402948190322,-28.87049134741132,-2.1150163612654204e+25,4.230032722530841e+25,1
0.007018423080444336,0.001595762409461205,0.004191064834594726,0.00020238204867981907,3,4,10,"{'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}",-3.0,-3.0,-1.0575081806327103e+26,-1.1909402948190322,-28.87049134741132,-2.1150163612654204e+25,4.230032722530841e+25,1
0.007587623596191406,0.0019528874715244863,0.0045413970947265625,0.0004004055024881489,5,1,2,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",-3.0,-3.0,-8.460065445061682e+26,-1.162687559956661,-2.65640935211978,-1.6920130890123364e+26,3.384026178024673e+26,37
0.007315921783447266,0.0009485906335865482,0.004395151138305664,0.0002603421977493641,5,1,5,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",-3.0,-3.0,-8.460065445061682e+26,-1.1679894440759622,-8.585797527628662,-1.6920130890123364e+26,3.384026178024673e+26,37
0.00825948715209961,0.00203082224699352,0.005173444747924805,0.0010206947365973484,5,1,10,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",-3.0,-3.0,-8.460065445061682e+26,-1.190940294819066,-28.87049134741132,-1.6920130890123364e+26,3.384026178024673e+26,37
0.008804416656494141,0.0023293160589386228,0.004503822326660157,0.0006790176636699593,5,2,2,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",-3.0,-3.0,-3.384026178024673e+26,-1.167989444075928,-8.585797527628662,-6.768052356049346e+25,1.353610471209869e+26,19
0.0068972110748291016,0.0008865218794446738,0.004904031753540039,0.00035794285572041373,5,2,5,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5}",-3.0,-3.0,-4.230032722530841e+26,-1.167989444075928,-8.585797527628662,-8.460065445061682e+25,1.6920130890123364e+26,24
0.0065405845642089845,0.0018533806772600618,0.004279041290283203,0.000984405426954374,5,2,10,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",-3.0,-3.0,-4.230032722530841e+26,-1.1909402948190322,-28.87049134741132,-8.460065445061682e+25,1.6920130890123364e+26,24
0.0065189838409423825,0.0011512250447549615,0.003616142272949219,0.0006112245634410501,5,4,2,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}",-3.0,-3.0,-1.0575081806327103e+26,-1.1909402948190322,-28.87049134741132,-2.1150163612654204e+25,4.230032722530841e+25,1
0.00634617805480957,0.0018296827724956803,0.003825998306274414,0.00011523829270755738,5,4,5,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5}",-3.0,-3.0,-1.0575081806327103e+26,-1.1909402948190322,-28.87049134741132,-2.1150163612654204e+25,4.230032722530841e+25,1
0.006151676177978516,0.000709847876118698,0.004316473007202148,0.000954590888640955,5,4,10,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",-3.0,-3.0,-1.0575081806327103e+26,-1.1909402948190322,-28.87049134741132,-2.1150163612654204e+25,4.230032722530841e+25,1
