model,MAE,RMSE,R2
LinearRegression,7.3406131459056e-08,8.103330615851126e-08,0.9999999999999983
DecisionTree,2.8934564307142887,3.5174442765547207,-2.092852944071901
RandomForest,4.484016598000067,5.117022520900321,-5.545449488436188
